DURATION;POPULARITY;KEY;TEMPO;LOUDNESS;MODE;PLAYLISTID;MOOD;PLAYLIST;PLAYLISTDESCRIPTION;URI;ARTIST;SONG;DANCEABILITY;ENERGY;INSTRUMENTALNESS;ACOUSTICNESS;VALENCE;LIVENESS;SPEECHINESS
0.19169198141479132;0.797979797979798;0.6363636363636364;0.7363292889323257;0.9010608462382635;1.0;6dm9jZ2p8iGGTLre7nY4hf;SAD;BREAKUP SONGS;When you've come to an end there's no better cure than music for a broken heart! You never know when you need comfort so make sure you follow the best playlist for break up songs on Spotify! // FILTR;spotify:track:37f4ITSlgPX81ad2EvmVQr;Rachel Platten;Fight Song;0.564;0.714;0.0;0.0549;0.328;0.155;0.129
0.2988591714521359;0.7575757575757576;0.09090909090909091;0.4539045553145336;0.8044628703816608;1.0;6dm9jZ2p8iGGTLre7nY4hf;SAD;BREAKUP SONGS;When you've come to an end there's no better cure than music for a broken heart! You never know when you need comfort so make sure you follow the best playlist for break up songs on Spotify! // FILTR;spotify:track:4L2K7JKseFCBoHMZEAszW0;Labrinth;Jealous;0.435;0.155;0.0;0.873;0.0918;0.107;0.046
0.20374829029399258;0.9393939393939394;1.0;0.5579545183666658;0.8829898792830142;0.0;6dm9jZ2p8iGGTLre7nY4hf;SAD;BREAKUP SONGS;When you've come to an end there's no better cure than music for a broken heart! You never know when you need comfort so make sure you follow the best playlist for break up songs on Spotify! // FILTR;spotify:track:6WLS56xiRrXjSm9RSdL3zD;Zara Larsson;Never Forget You;0.583;0.732;9.86E-6;0.00312;0.292;0.269;0.0457
0.2849766148077189;0.6464646464646465;0.6363636363636364;0.4276119758766179;0.7960492622850872;1.0;6dm9jZ2p8iGGTLre7nY4hf;SAD;BREAKUP SONGS;When you've come to an end there's no better cure than music for a broken heart! You never know when you need comfort so make sure you follow the best playlist for break up songs on Spotify! // FILTR;spotify:track:0QEmGCfiMQjyDRnRogtMnM;Ruth B;Lost Boy;0.73;0.125;0.0;0.961;0.385;0.0905;0.0451
0.2017325020875062;0.5555555555555556;0.5454545454545454;0.3732032609472956;0.9028898914766492;0.0;6dm9jZ2p8iGGTLre7nY4hf;SAD;BREAKUP SONGS;When you've come to an end there's no better cure than music for a broken heart! You never know when you need comfort so make sure you follow the best playlist for break up songs on Spotify! // FILTR;spotify:track:5Dv7oe5icNjyY6bjdIm1YA;Isac Elliot;No One Else;0.67;0.724;0.0;0.0274;0.373;0.113;0.0394
0.254256975856646;0.7676767676767676;0.6363636363636364;0.13541989463898355;0.8437995366418729;1.0;6dm9jZ2p8iGGTLre7nY4hf;SAD;BREAKUP SONGS;When you've come to an end there's no better cure than music for a broken heart! You never know when you need comfort so make sure you follow the best playlist for break up songs on Spotify! // FILTR;spotify:track:7DFNE7NO0raLIUbgzY2rzm;Passenger;Let Her Go;0.509;0.538;0.0;0.385;0.242;0.104;0.0572
0.2553839730750119;0.5050505050505051;0.5454545454545454;0.27850349216943576;0.9236190708450189;1.0;6dm9jZ2p8iGGTLre7nY4hf;SAD;BREAKUP SONGS;When you've come to an end there's no better cure than music for a broken heart! You never know when you need comfort so make sure you follow the best playlist for break up songs on Spotify! // FILTR;spotify:track:1i2zpmV4dQvngHZx6u7Pe6;Beyoncé;Best Thing I Never Had;0.545;0.649;1.57E-5;0.143;0.302;0.0894;0.0324
0.30885999108647655;0.8787878787878788;0.45454545454545453;0.6293950084622535;0.8732105840751129;0.0;6dm9jZ2p8iGGTLre7nY4hf;SAD;BREAKUP SONGS;When you've come to an end there's no better cure than music for a broken heart! You never know when you need comfort so make sure you follow the best playlist for break up songs on Spotify! // FILTR;spotify:track:1MDoll6jK4rrk2BcFRP5i7;Adele;Hello;0.471;0.431;0.0;0.329;0.293;0.0854;0.0342
0.2509515442423249;0.8787878787878788;0.36363636363636365;0.5188612905532644;0.9242043653213023;0.0;6dm9jZ2p8iGGTLre7nY4hf;SAD;BREAKUP SONGS;When you've come to an end there's no better cure than music for a broken heart! You never know when you need comfort so make sure you follow the best playlist for break up songs on Spotify! // FILTR;spotify:track:66hayvUbTotekKU3H4ta1f;Jack Ü;Where Are Ü Now (with Justin Bieber);0.432;0.781;4.21E-6;0.041;0.191;0.0789;0.0567
0.2426975702964515;0.6060606060606061;0.36363636363636365;0.13493122929131607;0.8555542007072308;0.0;6dm9jZ2p8iGGTLre7nY4hf;SAD;BREAKUP SONGS;When you've come to an end there's no better cure than music for a broken heart! You never know when you need comfort so make sure you follow the best playlist for break up songs on Spotify! // FILTR;spotify:track:1e8Bdce93FjBmI384m0ROE;Christina Aguilera;Hurt;0.392;0.301;0.0;0.799;0.118;0.119;0.0305
